5512908;123547399	2;1652159919
533759;123547399	1;1713239415
7395170;57814361	3;1661135315
533759;32033721	1;1665676499
7395170;200816614	2;1573394088
533759;117092886	3;1621429089
17055276;270823357	2;1645572403
5512908;9834969	2;1570246121
17055276;144183481	1;1590905739
5512908;19759193	2;1553254757
7395170;139497039	1;1617767152
5512908;21927345	3;1551260258
17055276;133823300	3;1626321251
5512908;6816559	1;1638425320
533759;7250495	3;1554798741
7395170;7250495	3;1610430670
17055276;7250495	3;1601012430
17055276;141258641	1;1605685512
7395170;22987272	3;1600256065
533759;22987272	2;1552643066
5512908;11816048	3;1563951075
7395170;7822715	1;1566208150
17055276;71159587	2;1639647319
7395170;152447564	1;1638091720
17055276;38041516	3;1637834066
533759;134465506	3;1600144488
5512908;68241924	3;1610459032
5512908;31252928	1;1638936007
17055276;173039871	1;1647587006
17055276;650370	3;1579495847
7395170;27577964	3;1598060438
7395170;2241937	2;1559221705
533759;190722883	3;1516071122
533759;165046255	1;1654919274
533759;650009	1;1558360572
5512908;3480335	1;1634559749
7395170;2386317	3;1582608155
5512908;137738014	2;1571474912
533759;48537881	3;1610201496
533759;42648352	1;1618369448
5512908;22095572	3;1596812454
5512908;1566739	1;1592650819
17055276;36626941	1;1623830958
7395170;14767922	3;1582719890
5512908;51975033	3;1536196744
17055276;249295	2;1596898027
7395170;36627518	3;1635482762
7395170;138076409	2;1634543937
5512908;6772417	3;1595423339
7395170;107137317	1;1628418799
17055276;107137317	1;1676276040
17055276;10909637	3;1563623919
533759;27577967	3;1624439190
5512908;57694140	3;1598942323
17055276;87107068	1;1624518113
7395170;1908443	3;1619495232
7395170;71432	3;1657428296
5512908;36627594	2;1636776144
17055276;74594175	3;1649251979
7395170;76195846	1;1652508018
7395170;131192619	1;1615729221
17055276;57867026	3;1639896578
17055276;579949	3;1640611112
17055276;58804369	3;1635432806
17055276;579457	2;1590719982
7395170;2130493	1;1594883629
17055276;99868982	3;1649235425
17055276;2130487	1;1597117026
17055276;43138207	2;1608430478
533759;7202379	3;1607101828
7395170;782921	1;1593760081
7395170;1454601	2;1613147240
7395170;73124604	3;1592652258
17055276;253402948	2;1660631012
5512908;7699065	1;1605950649
533759;11488924	3;1599520470
533759;3598845	3;1671080835
7395170;17593519	3;1607944868
7395170;175952	3;1647228000
17055276;75025561	2;1647235253
17055276;726770	1;1606657660
5512908;171545489	2;1620539715
5512908;140968	1;1627008973
5512908;130461483	3;1675679929
533759;34471557	3;1607602977
17055276;116410111	2;1664286883
17055276;13720952	3;1638312685
7395170;116053	3;1600782917
17055276;213708	3;1597486513
5512908;68370676	1;1686360283
7395170;266229	1;1603423748
7395170;188019140	1;1641964218
7395170;25026927	3;1653752354
7395170;130997756	1;1661419481
5512908;24030106	2;1641877161
7395170;116410108	3;1649258924
7395170;116410160	1;1660988256
7395170;34537696	1;1634097108
7395170;34537695	3;1624158568
533759;13624089	3;1631717000
7395170;7369225	1;1596870965
5512908;750581	2;1571058334
533759;83664157	3;1671939188
5512908;39001	3;1341065013
7395170;73523598	3;1663979065
7395170;127522207	3;1634444588
17055276;127522207	3;1640236850
533759;76776246	1;1656833376
533759;19771358	3;1609042895
7395170;19771358	2;1594549366
533759;72314471	2;1610594896
5512908;262528	2;1576814827
533759;72542476	2;1619020058
7395170;72542476	2;1620794792
17055276;56757448	1;1646270314
7395170;56757448	3;1638617593
17055276;54003814	2;1626402047
17055276;106863965	3;1630058274
7395170;106863965	3;1666784828
533759;50685549	3;1592492477
5512908;13446509	3;1615435677
533759;54624821	3;1620808207
533759;70016693	1;1708326785
7395170;100376370	3;1628848126
7395170;159004133	3;1646900316
7395170;189657597	3;1659970995
17055276;29878198	3;1613396014
17055276;54748900	1;1617356610
533759;17336361	3;1677686777
533759;10325549	1;1590737101
5512908;10325549	2;1610868458
5512908;77774626	3;1632231816
533759;271399272	2;1658750257
17055276;72102027	3;1653477337
7395170;72102027	1;1620056756
7395170;72102027	3;1606210409
7395170;68350216	2;1683432454
7395170;77109210	2;1671718027
7395170;56878837	1;1624852259
17055276;7916686	1;1545236022
17055276;187827005	2;1677046184
17055276;3718337	3;1601169370
533759;105483803	1;1636520520
7395170;105483803	2;1680008579
533759;59010154	2;1613633057
533759;50751280	2;1586776041
533759;50751280	3;1611799649
17055276;77900455	3;1627377503
533759;8886006	3;1599892454
17055276;74021318	3;1651489769
17055276;27582932	3;1626612027
17055276;14053725	3;1613972286
17055276;99513995	1;1628109733
17055276;195859177	3;1593335954
533759;59431763	1;1593504180
5512908;7833729	3;1634268198
533759;52785565	3;1634616288
17055276;1471907	3;1641349323
5512908;1471907	3;1662689040
7395170;42230122	2;1688437240
5512908;52334805	2;1614954172
5512908;57870427	3;1612275772
5512908;52789368	2;1637234673
17055276;12377499	1;1633869461
7395170;35191894	3;1588930608
7395170;103550552	3;1629208075
7395170;71907877	1;1614220780
7395170;71907877	3;1609917422
17055276;161008718	3;1707673704
23020209;120295861	2;1684931892
15410771;200816614	1;1584361163
23020209;200816614	1;1652161466
23654678;270823357	3;1647700982
15410771;71141571	1;1571143554
23020209;71141571	3;1612670891
23020209;126709	1;1659280628
15410771;12567799	1;1638174881
23654678;65364188	3;1561718524
23654678;22777860	1;1608147281
15410771;59238366	3;1619362037
23020209;144183481	3;1644858550
15410771;19759193	1;1639377497
15410771;21927345	2;1553675690
23654678;115936088	2;1519811639
15410771;195645753	3;1684588982
15410771;250565505	2;1544889406
23020209;31323846	3;1621785054
23020209;127654631	1;1552291892
15410771;96598025	3;1632710865
15410771;88917364	3;1604720211
23020209;96301631	3;1611403994
23654678;650370	3;1576230224
23654678;152492333	3;1611032129
15410771;2241937	3;1581826263
23654678;165846538	3;1575340203
15410771;3480335	1;1645599389
23020209;22095576	1;1609976429
15410771;152490381	2;1618166875
23654678;630208	2;1646651832
23654678;192721943	3;1608639233
23654678;57588482	2;1623641811
15410771;57588482	2;1595506374
23654678;33143448	2;1596604496
15410771;31252926	2;1713771170
15410771;6774375	1;1605681451
15410771;36626941	2;1626851147
23020209;14767922	3;1640995054
15410771;90875853	1;1567236937
15410771;152447502	3;1623644146
23020209;57921974	1;1634614823
23654678;92969	2;1585906896
15410771;105598	3;1628264205
15410771;102766973	1;1605251511
15410771;42170768	2;1641813782
15410771;33494722	3;1586479524
23020209;33494722	3;1691552229
23020209;33494722	3;1637902593
23654678;32178098	3;1642405137
15410771;1918933	3;1590322390
23020209;580004	2;1602427319
15410771;83412141	1;1660233817
23654678;73124604	1;1635743838
23654678;73124604	1;1554222401
15410771;73124604	3;1662113049
23020209;53511925	3;1554295573
15410771;12288498	3;1607139115
23020209;66489595	1;1597643628
23654678;115701	3;1573371233
23020209;34471557	1;1598625978
15410771;116053	3;1676029038
23020209;6840061	1;1629604911
23020209;116407261	3;1682151969
23020209;116410160	1;1691570881
15410771;1745249	3;1625806986
23020209;12107380	3;1601300909
23654678;59262881	2;1624255963
23020209;4781791	3;1635612299
15410771;68585577	1;1608638110
23020209;104074994	1;1639853307
15410771;26114400	3;1607317272
23020209;7369225	3;1585642643
23654678;63587073	3;1614250359
23020209;117595539	2;1632996985
15410771;42131412	1;1641891540
23020209;3304877	3;1590576948
23654678;52788073	3;1631343065
