24202670;112733081	5;1635392907
24202670;111537690	5;1712178167
24202670;69764536	5;1691483382
19423783;133599627	5;1662875675
24202670;68585577	5;1635589137
24202670;750581	5;1691483138
19423783;191571531	4;1668958770
19423783;198016674	5;1668961875
19423783;198016674	5;1668961875
19423783;198016657	5;1665901961
24202670;50475522	5;1636616250
24202670;50475522	5;1636616250
19423783;197558908	5;1665901953
24202670;168662559	5;1715225841
24202670;19274772	5;1712178195
24202670;74981857	5;1635419323
24202670;74981857	5;1635419323
19423783;189326214	5;1665901944
19423783;196515669	5;1674445268
19423783;196515669	5;1674445268
24202670;116835636	5;1679170154
24202670;116835636	5;1679170154
19423783;125089637	5;1662875679
24202670;187827440	5;1715225827
24202670;187827440	5;1715225827
19423783;194104225	5;1674445279
19423783;194104225	5;1674445279
24202670;17336361	5;1691483113
19423783;196923453	5;1665901972
24202670;190707623	5;1691483242
24202670;108501280	5;1635590532
24202670;108501280	5;1635590532
19423783;196923458	5;1665901949
24202670;114937971	5;1691483401
19423783;192909293	5;1668961882
24202670;59010154	5;1635390110
24202670;59010154	5;1635390110
19423783;192788799	5;1660442557
24202670;153902	5;1691483395
24202670;111537684	5;1712178189
19423783;194104220	4;1668961857
19423783;74903594	5;1662875669
19423783;192909290	5;1671575607
19423783;192909290	5;1671575607
19423783;89179375	5;1662875690
19423783;195190274	5;1665901956
19423783;195190274	5;1665901956
19423783;195885686	5;1665901947
24202670;54266568	5;1679395425
19423783;77621608	5;1662875700
24202670;109982973	5;1691483364
24202670;109982973	5;1691483364
19423783;193981039	5;1665901965
19423783;193981039	5;1665901965
19423783;193896565	5;1662875661
7103384;187190677	5;1671946798
11752211;186265458	5;1656566448
11752211;197634253	5;1664950854
11752211;197634253	5;1664950854
7103384;197634253	5;1671946800
7454508;73878874	5;1649834083
7454508;51244266	5;1670861783
7103384;191571531	5;1671946799
11752211;191571531	5;1659341262
11752211;198016659	5;1664352077
11752211;198016659	5;1664352077
11752211;192124400	5;1660116937
7103384;192124400	5;1671946799
11752211;196515662	5;1663300227
11752211;196515662	5;1663300227
7454508;148760929	5;1654666976
11752211;198016657	5;1664352041
11752211;198016657	5;1664352041
11752211;197781974	5;1664352025
11752211;197781974	5;1664352025
7454508;13419679	5;1615218181
11752211;191571495	5;1659340955
11752211;191571495	5;1659340955
7103384;191571495	5;1671946799
7454508;66067656	5;1651665305
11752211;193981050	5;1661087950
7454508;176550322	5;1657962732
11752211;194960724	5;1661497269
11752211;194960724	5;1661497269
7103384;194960724	5;1671946800
11752211;195885681	5;1662697181
11752211;195885681	5;1662697181
7103384;197634258	5;1671946800
7103384;197634258	5;1671946800
11752211;191920182	5;1659341283
11752211;127522207	5;1639027218
7454508;148802203	5;1647931326
7454508;122332293	5;1636541534
7103384;192124394	5;1671946799
7103384;195801659	5;1671946800
11752211;77230664	5;1614601614
7454508;77230664	5;1650875091
7454508;77323489	5;1623225282
7454508;75630596	5;1668439535
7454508;140635219	5;1639474086
7454508;106863965	5;1629299474
7103384;189326214	5;1671946799
7103384;188930501	5;1671946799
7103384;196515667	5;1671946800
7103384;196515667	5;1671946800
11752211;193446627	5;1660116861
7103384;193446627	5;1671946800
11752211;193446627	5;1660116861
7103384;193446627	5;1671946800
11752211;194205614	5;1662697157
7454508;4255935	5;1607344861
7103384;194104225	5;1671946800
7454508;35283864	5;1670609508
7103384;15397972	5;1676768827
7103384;56878837	5;1620538010
7103384;197344457	5;1671946800
7454508;173748416	5;1656434625
7454508;45321595	5;1652882468
7103384;171825202	5;1671946798
11752211;192115861	5;1660116996
7103384;192115861	5;1671946799
11752211;196923458	5;1663300250
11752211;196923458	5;1663300250
11752211;197634261	5;1664950888
11752211;197634261	5;1664950888
7103384;197634261	5;1671946800
11752211;192909293	5;1660116919
11752211;192909293	5;1660116919
7103384;192909293	5;1671946800
7454508;59010154	5;1629299465
7103384;188128049	5;1671946798
7454508;164336674	5;1652255536
7103384;193434495	5;1671946800
7103384;193434495	5;1671946800
7103384;194104220	5;1671946800
7103384;196422810	5;1671946800
7103384;196422810	5;1671946800
7454508;130996089	5;1650875082
7103384;197344445	5;1671946800
11752211;188940819	5;1664352092
7454508;27582932	5;1654666983
7103384;192909290	5;1671946799
7103384;192909290	5;1671946799
11752211;196923454	5;1663300306
11752211;196923454	5;1663300306
7103384;196016786	5;1671946800
7454508;36854642	5;1621329310
7103384;195885686	5;1671946800
7103384;195885686	5;1671946800
11752211;191636257	5;1659340942
11752211;191636257	5;1659340942
7103384;191636257	5;1671946799
11752211;109018531	5;1687521848
7454508;46789756	5;1652882457
7103384;193434493	5;1671946800
7103384;190464441	5;1671946799
7454508;184466859	5;1668439822
7454508;49747008	5;1600105192
7103384;193981039	5;1671946800
7103384;193981039	5;1671946800
7454508;48362503	5;1601520747
11752211;193450573	5;1664950823
11752211;193450573	5;1664950823
7454508;88911710	5;1653288499
7454508;167149889	5;1652062443
7103384;188930499	5;1671946799
7454508;76014599	5;1651665299
19051;48962415	5;1596893178
19051;48962415	5;1596893178
19051;53758855	5;1653230946
19051;145696370	5;1675384560
19051;145696370	5;1675384560
21263850;782921	5;1671118569
21263850;107961504	5;1670819769
21263850;107961504	5;1670819780
21263850;28324643	5;1669017419
21263850;116053	5;1675239642
19051;116407261	5;1678108581
21263850;187190677	5;1657806436
22456806;67477614	5;1643120766
22456806;59262881	5;1635394245
22456806;57762733	5;1627308520
19051;69764536	4;1670084956
22456806;68585577	5;1633074430
22456806;26114400	5;1625648411
22456806;51830751	5;1633410330
22456806;124767705	5;1634098445
21263850;174215337	5;1677556598
22456806;92859699	5;1629106371
22456806;100947275	5;1636615371
22456806;85396164	5;1631698134
19051;73515860	5;1676693881
22456806;73515860	5;1639903539
22456806;55506687	5;1628755140
19051;147999780	5;1657259322
21263850;197781970	5;1664590808
22456806;94173463	5;1633939051
22456806;167972599	5;1667212317
22456806;84950237	5;1625548723
22456806;49317817	5;1635740278
21263850;198016657	5;1670235715
21263850;197781974	5;1664590814
19051;73787186	5;1672242109
22456806;152740749	5;1667212312
19051;138934621	5;1676790618
19051;138934621	5;1676790618
22456806;13419679	5;1632986822
22456806;50475522	5;1626335665
19051;140416372	5;1676790638
22456806;140416372	5;1667212320
22456806;90622655	5;1633931899
21263850;197558908	5;1663600629
22456806;77900447	5;1629348489
21263850;194960724	5;1673587212
19051;56454898	5;1706948328
21263850;197634258	5;1673520261
21263850;197634258	5;1673520261
22456806;72882555	5;1632900302
19051;73523598	5;1672242060
22456806;127522207	5;1627973347
22456806;127522207	5;1627973369
22456806;179546079	5;1667212138
22456806;7644511	5;1633074443
19051;183058544	5;1672241982
22456806;164091968	5;1626763710
22456806;37411898	5;1633318138
19051;100931417	5;1697990572
22456806;112267625	5;1634710283
22456806;73316978	5;1636615366
22456806;57325188	5;1636024867
21263850;197558903	5;1663600621
21263850;197558903	5;1663600621
21263850;197353394	5;1663600626
22456806;80628930	5;1633074415
21263850;195801659	5;1661608306
22456806;72542510	5;1633074439
22456806;70016691	5;1625823011
21263850;197587855	5;1663309565
21263850;197587855	5;1663309565
21263850;197558901	5;1663600615
21263850;197558901	5;1663600615
22456806;41299109	5;1637119937
22456806;72459687	5;1631698143
22456806;74855018	5;1627308512
19051;190861559	4;1670084901
