8204467;273428778	5;1652418654
8204467;26416990	5;1651478358
8204467;26416990	5;1651478358
8204467;1661971	5;1651935265
8204467;177243	5;1659775153
8204467;99868982	5;1705902478
8204467;83412141	5;1641561290
8204467;73124604	5;1712990288
8204467;44976192	5;1706764297
8204467;68585577	5;1643931930
8204467;26114400	5;1642401657
8204467;185067343	5;1695204175
8204467;84950237	5;1667202315
8204467;176550322	5;1676042175
8204467;72882555	5;1646467119
8204467;87226759	5;1646467123
8204467;76776246	5;1646161057
8204467;70016691	5;1646467109
8204467;77230664	5;1641561495
8204467;106863965	5;1643931938
8204467;190861559	5;1695204183
8204467;74981857	5;1646161103
8204467;139303870	5;1706764311
8204467;46240930	5;1646467131
8204467;10397242	5;1646161065
8204467;77774626	5;1643931893
8204467;63473608	4;1646161083
8204467;42131414	5;1650248243
8204467;73717907	5;1640684809
8204467;73717907	5;1640684809
8204467;187008026	5;1663977515
8204467;50751280	5;1659775161
8204467;87226757	5;1659775158
8204467;73315372	5;1643931904
8204467;143217516	5;1646467105
8204467;101897984	5;1646160997
8204467;176550204	5;1663977529
8204467;56218386	4;1646161074
8204467;56692533	5;1646467127
8204467;71907877	5;1659775159
694542;123547399	5;1651319933
694542;124939771	5;1659151312
694542;32033721	5;1643022429
694542;19759193	5;1612934328
694542;125798	5;1646454162
694542;125798	5;1599787629
694542;59401443	5;1598093029
694542;31252926	5;1652500935
694542;152447502	5;1562048882
694542;145696370	5;1648976085
694542;34471557	5;1654858138
694542;34471557	5;1619946727
694542;34471557	5;1600314449
694542;68370676	5;1639462875
694542;116410160	5;1639462877
694542;36377565	5;1598093023
694542;10767516	5;1659151331
694542;189643110	5;1659151256
694542;130233546	5;1641365877
694542;127522207	5;1647221120
694542;127522207	5;1634276689
694542;100931417	5;1630757226
694542;72459687	5;1634786676
694542;150682464	5;1643899632
694542;116835636	5;1647143483
694542;54748900	4;1591860533
694542;45902242	5;1647221114
694542;145300495	5;1654405565
694542;86517374	5;1636773288
694542;20520721	5;1633504649
694542;71345382	5;1612934507
694542;73795266	5;1624104963
436821;125798	5;1682319351
436821;125798	5;1693975503
436821;125798	5;1693975301
436821;170280931	5;1709163965
436821;14387867	5;1679624280
436821;97990472	5;1693975331
436821;58437310	5;1636423502
436821;36626941	5;1622282715
436821;6768705	5;1646952099
436821;92969	5;1622282711
436821;57694140	4;1641908568
436821;59020032	5;1605107086
436821;74594175	5;1646952189
436821;77448061	5;1693975418
436821;56941526	5;1606540524
436821;176598086	5;1661689720
436821;176598086	5;1661689720
436821;97556668	5;1604672446
436821;4781791	5;1679624284
436821;179735873	5;1693975490
436821;185067343	5;1679624139
436821;42131412	5;1665620991
436821;56454898	5;1667801394
436821;103379149	5;1667801385
436821;161008716	5;1673325749
436821;48065739	5;1594451039
436821;74021318	5;1665939606
436821;185055211	5;1657692792
436821;55639167	5;1605091399
436821;14053725	5;1664465601
436821;157432545	5;1679624271
436821;147920904	5;1679624288
17884;4781791	5;1602481431
17884;51244266	5;1609141824
17884;750581	5;1606141362
17884;6915415	5;1620815362
17884;49317817	5;1606141321
